trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
68,0,68,0,131.61541480000596,,131.5717020999873,5,131.61541480000596,131.61541480000596,0.0169525999808684,132.8052835999988,[0.058333333333333334],[0.41833333333333333],[1],[0],[0],[1.2166746000293642],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
69,0,69,0,132.84862469998188,,132.81050089991186,5,132.84862469998188,132.84862469998188,0.021761300042271614,133.95235859998502,[0.31333333333333335],[0.19333333333333333],[1],[0],[0],[1.1209841000381857],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
70,0,70,0,133.9992002999643,,133.95482749992516,5,133.9992002999643,133.9992002999643,0.01587519992608577,135.4528879999416,[0.21],[-0.0016666666666666668],[1],[0],[0],[1.4824370000278577],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
71,0,71,0,135.51640339998994,,135.4554503998952,10,135.51640339998994,135.51640339998994,0.03126900002826005,138.0397211998934,[0.295],[-0.44666666666666666],[1],[0],[0],[2.553192700026557],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
72,0,72,0,138.10066009999719,,138.04470909992233,10,138.10066009999719,138.10066009999719,0.03317640000022948,139.38770439999644,[0.30666666666666664],[0.17166666666666666],[1],[0],[0],[1.31076840008609],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
73,0,73,0,139.45138429990038,,139.3900368999457,10,139.45138429990038,139.45138429990038,0.027681899955496192,141.27212929993402,[0.43166666666666664],[0.145],[1],[0],[0],[1.8546764999628067],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
74,0,74,0,141.33573549997527,,141.27445569995325,10,141.33573549997527,141.33573549997527,0.03216609999071807,142.54067009990104,[0.295],[-0.065],[1],[0],[0],[1.2341705999569967],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
75,0,75,0,142.5858004000038,,142.5430398999015,5,142.5858004000038,142.5858004000038,0.018029799917712808,144.35921789996792,[-0.295],[-0.29],[1],[0],[0],[1.798408200033009],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
76,0,76,0,144.42005570000038,,144.36151429999154,10,144.42005570000038,144.42005570000038,0.03241270000580698,148.44187649991363,[0.25],[0.45166666666666666],[1],[0],[0],[4.048151599941775],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
77,0,77,0,148.48814699996728,,148.4458350999048,5,148.48814699996728,148.48814699996728,0.017802700051106513,149.55941969994456,[-0.12],[-0.25666666666666665],[1],[0],[0],[1.0962061000755057],2,001,2024-10-10_15h47.11.406,Visual Search Experiment,2024.1.5,None,2024-10-10 15h47.27.340918 +0530,
